"Date Added","Track Item",Retailer,"Retailer Item ID",TLD,UPC,Title,Manufacturer,Brand,"Client Product Group",Category,Subcategory,"Amazon Sub Category"
3/24/2018,"N - Low Sales Rank",amazon,B009ATG312,com,',"Metabo SB18 LTX 4.0 Cordless, Drill, Driver, 18-volt, Li-Ion Battery, 4.0 Extreme Battery",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - STANLEY DRILL DRIVER",amazon,B009L32MHG,com,',"DeWalt 1/2"" 330075-91 1.5-13MM Keyless Drill Chuck",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B009OXN8YO,com,',"Pacific laser Systems PLS-20334 PLS3 Carrying Pouc",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B009PDWBYG,com,',"Bosch HDS18102RT 18V Cordless Lithium-Ion Compact ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B009PMV68Y,com,',"Hilti 03482619 SID 18-A CPC 18-volt Cordless Compa",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B009URK3GA,com,',"Hilti 02020087 SD 4500 High Speed Drywall Screwdri",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B009YES7DK,com,',"Craftsman 230081005 Drill Driver Motor Assembly",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00A14MUZI,com,',"Ryobi TEK4 4-Volt Screwdriver",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00A7ZFROM,com,',"Mtd 753-06871 Line Trimmer Ignition Coil",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00ABSD9MM,com,',"Metabo 600637420 1-1/8 in. SDS-plus Rotary Hammer ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00AK15Q1M,com,',"PowRyte 1/2-Inch Air Impact Wrench",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00AN6B2SK,com,',"Craftsman 17191X C3 Drill Driver Kit with Lithium-",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00ATT7ECY,com,',"Quantum Wave Cold Low Level Laser (Silver)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00AU7K1O8,com,',"BATTERY FOR HITACHI 326263 EBM315 DB3DL2 DB3DL COR",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00B76WUGS,com,',"90 Degree Laser Level",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BC2HBCU,com,',"Hilti 03474878 SD-4500-A18 CPC Compact Cordless Hi",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BCNEZOQ,com,',"Craftsman 7228201 Charger for 315101650 Cordless S",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BCNFMI4,com,',"Craftsman 690033066 Replacement Drill Chuck for Drill Drivers",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BHKXE1O,com,',"Johnson Level & Tool 40-6604 Line Laser",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BYFN7YG,com,',"Milwaukee 2101-20 M4 1/4 Hex Screwdriver Tool Only",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00BYFNAGG,com,',"Milwaukee 2402-20 M12 Fuel 1/4 Hex 2-Spd Screwdriv",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - MILWAUKEE DRILL DRIVE",amazon,B00BYFNCBO,com,',"Milwaukee 2403-20 M12 Fuel 1/2 Driver Drill tool Only",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00C0C6VPO,com,',"BOSCH GSR ProDrive Professional Cordless Electric ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00C1KUO8K,com,',"Ridgid R82015 Drill Replacement 12V NiCd MAX 1.9Ah",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00C1SBWCE,com,',"Ridgid R840091 Lithium Ion 9.6v- 18v Battery Charg",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - RYOBI DRILL DRIVER",amazon,B00CB3C6AQ,com,',"Ryobi A963402 34 Piece Impact Rated Driving Bits with Dock-It Collection Storage Solution",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00CN33E00,com,',"Festool PM561556 Plunge Cut Circular Saw with CT MINI 2.6 Gallon Mobile Dust Extractor",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00CYPXPGU,com,',"DeWalt DWP611 Compact Router Replacement Sub Base # A28435",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00D96RP28,com,',"Johnson Level & Tool 40-6507 Manual-Leveling Rotary Laser Level Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DEIM0AI,com,',"Craftsman 753-08057 Line Trimmer Carburetor",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DEJ17LA,com,',"Mtd 941-031506S Line Trimmer Fuel Tank Genuine Ori",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DF3M2QO,com,',"Husqvarna 532172516 Line Trimmer Spindle Bearing C",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DF3W4Y4,com,',"Husqvarna 532181699 Line Trimmer Cutting Head Cont",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DFO0SLY,com,',"Husqvarna 574603901 Line Trimmer Fuel Filter",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DFO6K02,com,',"Husqvarna 532174581 Line Trimmer Retainer Ring",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DQWAN9C,com,',"Ridgid 12V Li-on Battery (R82058) & Charger (R8604",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DQWAXQK,com,',"Ridgid R82009 Drill 12V Li-on Battery (R86048) & Charger (R86049) Combo Kit # 130188001-BC-140446001",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DQWB01C,com,',"Ridgid R82009 Drill (2 Pack) 12V Li-on Batteries (",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DQWBHRY,com,',"Ridgid (2 Pack) AC840085 Hyper Li-on 1.5 Ah Batter",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DRE9XD6,com,',"Rigid (2 Pack) 18V Li-Ion 3.0 AH Batteries & (1) 1",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DREC2S4,com,',"Rigid 18V Li-Ion 3.0 AH Battery (R840084) & 18V Charger (R840093) Combo Kit # 130383031-BC-140154001",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00DZ24HEU,com,',"Stabila 03180 LAX300 Laser Bob Crossline Laser",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00E2ZTRE4,com,',"Craftsman C3 DD2100 Drill Driver - TOOL ONLY - NO Battery or charger included",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EFEN3CO,com,',"Ridgid R2200 Router Replacement 1/4"" Steel Collet ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EHHS8QK,com,',"Ingersoll Rand IQV20-204 Impact Wrench Kit",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - PUSH LAWN MOWER",amazon,B00EK7KPY0,com,',"Push Mower Diagnostics - lite",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EO2Z8PW,com,',"DeWalt DWP611 Compact Router OEM Replacement Sub Base (2 Pack) # A27941-2pk",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EO2Z9B0,com,',"DeWalt DWP611 Compact Router Replacement Sub Base (2 Pack) # A28435-2pk",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EPKMXVU,com,',"Ingersoll Rand (IRTD5140) IQV20 1/2"" Drive Cordless Drill (Bare Tool Only)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EZ54XN6,com,',"Ryobi P881 18v One+ Lithium-ion Impact Driver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EZSFHXI,com,',"Johnson Level & Tool 40-6636 Line Laser",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00EZSFJPO,com,',"Johnson Level & Tool 40-6638 Line Laser",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FDUEQK2,com,',"Porter-Cable Heavy Duty Tool Storage Case Drill Dr",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FGIPZWO,com,',"Hitachi DS18DFL 18V 1/2"" Cordless Drill Driver (Ba",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FHMH0FO,com,',"Sinotech Digital Display Vertical+horizontal Angle",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FK2G6MY,com,',"Milwaukee Cordless Driver, M4, 1/4""H, Li-Ion, w/2 ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FK8WQEA,com,',"Milwaukee 2406-22 M12 1/4 2Spd Driver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FKMS5Z0,com,',"Dewalt DW0851 Self Leveling Spot Beams and Horizon",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FLYED8U,com,',"Senco DS232-AC 2"" Corded 2500 RPM Auto-Feed Screwd",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FQ58BK0,com,',"Hitachi KNR9050A Framing Nailer and Brad Nailer Combo Kit (Includes NR90AE(S) and NT50AE2) (Discontinued by manufacturer)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00FTGHQHA,com,',"Ingersoll Rand D1130-K2 3/8"" 12V Li-Ion Drill/Driver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B00G4DZFB6,com,',"Hitachi DS18DFLM 18-Volt 1/2-Inch Lithium-Ion Cordless Drill/Driver (Includes 2 Batteries + Bit Set)",,,,,,
